event_id,event_date,satellite,image_date,latitude,longitude
FLASH_0120,2018-02-03,Landsat,2018-01-29,3.1874261,113.0472803
FLASH_0127,2019-03-16,Sentinel-2,2019-03-12,-2.607934,141.0015929
HEAT_0014,2019-06-01,Sentinel-2,2019-05-27,14.9562045,75.7896741
HEAT_0013,2019-06-01,Sentinel-2,2019-05-30,19.877263,75.3390241
FLASH_0128,2019-08-05,Sentinel-2,2019-08-04,21.15,107.2
FLASH_0129,2019-12-12,Sentinel-2,2019-12-11,-1.0478201,119.6758465
FLASH_0130,2019-12-31,Sentinel-2,2019-12-30,2.2676999,100.134023
FLASH_0131,2020-01-19,Sentinel-2,2020-01-18,-4.5905275,103.3652613
FLASH_0132,2020-03-04,Sentinel-2,2020-02-29,-1.6568513,120.5421575
FLASH_0133,2020-04-04,Sentinel-2,2020-03-30,-3.08,119.82
FLASH_0134,2020-04-09,Sentinel-2,2020-04-08,-7.1229318,112.3281935
FLASH_0135,2020-05-22,Sentinel-2,2020-05-19,4.3685491,97.0253024
FLASH_0136,2020-06-11,Sentinel-2,2020-06-10,0.5448041,123.0941378
FLASH_0137,2020-07-18,Sentinel-2,2020-07-17,22.8168007,104.9504515
FLASH_0138,2020-07-19,Sentinel-2,2020-07-14,21.9596834,96.0948743
FLASH_0139,2020-08-01,Sentinel-2,2020-07-30,0.3825398,124.0499393
FLASH_0140,2020-08-22,Sentinel-2,2020-08-17,18.7544594,100.624804
FLASH_0141,2020-11-25,Sentinel-2,2020-11-22,8.6772337,99.7309635
FLASH_0142,2020-12-12,Sentinel-2,2020-12-10,-8.65,117.36
FLASH_0143,2021-01-08,Sentinel-2,2021-01-04,10.416667,123.0
FLASH_0144,2021-04-16,Sentinel-2,2021-04-13,21.8056474,106.3682127
FLASH_0145,2021-07-28,Sentinel-2,2021-07-23,31.9292352,77.1828462
FLASH_0146,2021-08-17,Sentinel-2,2021-08-16,5.1672991,100.5849347
FLASH_0147,2021-10-20,Sentinel-2,2021-10-15,5.8098265,100.6715035
FLASH_0148,2021-11-04,Sentinel-2,2021-11-01,-7.9771308,112.6340265
FLASH_0149,2021-12-17,Sentinel-2,2021-12-16,3.6168822,102.5994547
HEAT_0015,2022-03-01,Sentinel-2,2022-02-28,21.0387956,75.0545539
FLASH_0150,2022-04-03,Sentinel-2,2022-04-01,8.36,125.71
FLASH_0151,2022-10-04,Sentinel-2,2022-10-01,-6.2,106.85
HEAT_0016,2023-04-01,Sentinel-2,2023-03-30,21.0387956,75.0545539
HEAT_0017,2023-04-01,Sentinel-2,2023-03-29,27.1303344,80.859666
FLASH_0152,2023-06-26,Sentinel-2,2023-06-25,25.75,80.0
FLASH_0153,2023-08-04,Sentinel-2,2023-07-30,22.2921668,103.1798662
