event_id,image_date,modis_date,search_window_days,LST_Day_C,LST_Night_C
HEAT_0014,2019-05-27,2019-05-24,3,41.73447761194029,
HEAT_0013,2019-05-30,2019-05-27,3,49.14812500000005,33.10166666666669
FLASH_0128,2019-08-04,2019-08-06,3,,22.91211055276392
FLASH_0129,2019-12-11,2019-12-09,3,26.2635227272728,
FLASH_0130,2019-12-30,2019-12-23,7,26.730000000000018,
FLASH_0131,2020-01-18,2020-01-16,3,30.056268656716384,
FLASH_0132,2020-02-29,2020-02-25,7,22.4264331210191,
FLASH_0133,2020-03-30,2020-03-30,3,29.621320754717033,
FLASH_0134,2020-04-08,2020-04-09,3,31.40206030150756,
FLASH_0135,2020-05-19,2020-05-22,3,23.851928934010175,
FLASH_0136,2020-06-10,2020-06-09,3,35.50226130653266,
FLASH_0137,2020-07-17,2020-07-22,7,,20.170000000000016
FLASH_0138,2020-07-14,2020-07-24,15,,30.473200000000077
FLASH_0139,2020-07-30,2020-07-18,15,28.661356783919643,20.778743718593034
FLASH_0140,2020-08-17,2020-08-27,15,,23.427979797979845
FLASH_0141,2020-11-22,2020-11-09,15,,18.247127659574517
FLASH_0142,2020-12-10,2020-11-30,15,25.93832487309652,
FLASH_0143,2021-01-04,2020-12-21,15,,23.381055276381858
FLASH_0144,2021-04-13,2021-04-07,7,,19.134278606965154
FLASH_0145,2021-07-23,2021-07-20,3,,11.010000000000048
FLASH_0146,2021-08-16,2021-08-17,3,29.445167785234958,
FLASH_0147,2021-10-15,2021-10-15,3,32.51969696969701,
FLASH_0148,2021-11-01,2021-10-25,7,36.20083333333338,
FLASH_0149,2021-12-16,2021-12-14,3,29.740149253731374,
HEAT_0015,2022-02-28,2022-02-25,3,36.89333333333337,18.492626262626345
FLASH_0150,2022-04-01,2022-03-31,3,31.77663316582914,
FLASH_0151,2022-10-01,2022-09-24,7,,25.899441624365522
HEAT_0016,2023-03-30,2023-03-27,3,39.82676767676776,23.91353535353545
HEAT_0017,2023-03-29,2023-03-26,3,27.6777948717949,17.187948717948643
FLASH_0152,2023-06-25,2023-06-24,3,36.89502512562825,
FLASH_0153,2023-07-30,2023-07-24,7,22.201111111111175,19.674390243902508
