event_id,image_date,LST_Day_C,LST_Night_C
FLASH_0120,2018-01-29,,
FLASH_0127,2019-03-12,,
HEAT_0014,2019-05-27,42.150000000000034,
HEAT_0013,2019-05-30,49.190000000000055,33.13000000000005
FLASH_0128,2019-08-04,,
FLASH_0129,2019-12-11,,
FLASH_0130,2019-12-30,,
FLASH_0131,2020-01-18,,
FLASH_0132,2020-02-29,,
FLASH_0133,2020-03-30,,
FLASH_0134,2020-04-08,,
FLASH_0135,2020-05-19,,
FLASH_0136,2020-06-10,,
FLASH_0137,2020-07-17,,
FLASH_0138,2020-07-14,,
FLASH_0139,2020-07-30,,
FLASH_0140,2020-08-17,,
FLASH_0141,2020-11-22,,
FLASH_0142,2020-12-10,,
FLASH_0143,2021-01-04,,
FLASH_0144,2021-04-13,,
FLASH_0145,2021-07-23,,
FLASH_0146,2021-08-16,,
FLASH_0147,2021-10-15,,
FLASH_0148,2021-11-01,,
FLASH_0149,2021-12-16,,
HEAT_0015,2022-02-28,36.77000000000004,18.370000000000005
FLASH_0150,2022-04-01,,
FLASH_0151,2022-10-01,,
HEAT_0016,2023-03-30,39.690000000000055,24.110000000000014
HEAT_0017,2023-03-29,27.430000000000007,17.29000000000002
FLASH_0152,2023-06-25,,
FLASH_0153,2023-07-30,,
